"Untitled","Untitled 1"
"0.269111","0.548112"
"0.268851","0.548318"
"0.26887","0.548144"
"0.268403","0.546757"
"0.267991","0.54685"
"0.268474","0.547617"
"0.268992","0.54817"
"0.268976","0.548064"
"0.268757","0.546725"
"0.267689","0.546413"
"0.268934","0.548254"
"0.269514","0.549178"
"0.269665","0.549081"
"0.268197","0.546722"
"0.268529","0.547298"
"0.268886","0.547996"
"0.269836","0.548666"
"0.26802","0.54602"
"0.268088","0.546577"
"0.26858","0.547855"
"0.269803","0.548775"
"0.26905","0.547623"
"0.268522","0.547481"
"0.268857","0.548441"
"0.270499","0.54977"
"0.26888","0.547462"
"0.268262","0.546609"
"0.268609","0.548508"
"0.269636","0.548087"
"0.269057","0.547111"
"0.268303","0.54697"
"0.270084","0.548997"
"0.269633","0.548515"
"0.269118","0.547314"
"0.268905","0.548222"
"0.269881","0.548408"
"0.269494","0.547932"
"0.269008","0.547253"
"0.26999","0.548788"
"0.27009","0.548698"
"0.269887","0.54744"
"0.269002","0.547951"
"0.269868","0.548598"
"0.270087","0.548235"
"0.268761","0.546728"
"0.269121","0.547655"
"0.269913","0.548621"
"0.269794","0.548006"
"0.269356","0.547861"
"0.269945","0.548788"
"0.270148","0.548048"
"0.269408","0.547533"
"0.269543","0.547951"
"0.270299","0.548186"
"0.269459","0.54659"
"0.269073","0.547185"
"0.270261","0.548247"
"0.269984","0.547877"
"0.269446","0.547401"
"0.26991","0.547958"
"0.270132","0.548206"
"0.269626","0.547993"
"0.270261","0.54826"
"0.270273","0.548534"
"0.269813","0.547938"
"0.270476","0.548611"
"0.270586","0.54855"
"0.270164","0.547517"
"0.269878","0.54818"
"0.270396","0.548466"
"0.270541","0.548202"
"0.270367","0.548389"
"0.270467","0.549249"
"0.270747","0.548077"
"0.270386","0.547977"
"0.270422","0.548399"
"0.270473","0.54789"
"0.270309","0.547552"
"0.270338","0.547781"
"0.270496","0.547842"
"0.270344","0.548164"
"0.270653","0.548048"
"0.27066","0.548064"
"0.270467","0.54817"
"0.270579","0.548669"
"0.270689","0.548293"
"0.270196","0.548177"
"0.270853","0.548402"
"0.271027","0.548405"
"0.270515","0.548025"
