Time (s), Voltage (V)
-2.500000000000000139e-02,3.190195423824744581e-02
-2.498749999999999930e-02,3.190140537952447508e-02
-2.497500000000000067e-02,3.190074831319528181e-02
-2.496249999999999858e-02,3.189998434118913179e-02
-2.494999999999999996e-02,3.189911476543526997e-02
-2.493750000000000133e-02,3.189814088786296215e-02
-2.492499999999999924e-02,3.189706401040143940e-02
-2.491250000000000062e-02,3.189588543497998835e-02
-2.489999999999999852e-02,3.189460646352784007e-02
-2.488749999999999990e-02,3.189322839797425341e-02
-2.487500000000000128e-02,3.189175254024847334e-02
-2.486249999999999918e-02,3.189018019227978645e-02
-2.485000000000000056e-02,3.188851265599740303e-02
-2.483749999999999847e-02,3.188675123333061662e-02
-2.482499999999999984e-02,3.188489722620866523e-02
-2.481250000000000122e-02,3.188295193656079385e-02
-2.479999999999999913e-02,3.188091666631627519e-02
-2.478750000000000051e-02,3.187879271740433340e-02
-2.477499999999999841e-02,3.187658139175425509e-02
-2.476249999999999979e-02,3.187428399129527828e-02
-2.475000000000000117e-02,3.187190181795666877e-02
-2.473749999999999907e-02,3.186943617366766457e-02
-2.472500000000000045e-02,3.186688836035753147e-02
-2.471249999999999836e-02,3.186425967995552139e-02
-2.469999999999999973e-02,3.186155143439088622e-02
-2.468750000000000111e-02,3.185876492559226725e-02
-2.467499999999999902e-02,3.185643639946483807e-02
-2.466250000000000039e-02,3.185360326621153315e-02
-2.464999999999999830e-02,3.185180988017786985e-02
-2.463749999999999968e-02,3.184823019547380202e-02
-2.462500000000000105e-02,3.184558292826503850e-02
-2.461249999999999896e-02,3.184205684386900992e-02
-2.460000000000000034e-02,3.183830426510163986e-02
-2.458750000000000172e-02,3.183424001449575852e-02
-2.457499999999999962e-02,3.183057706176749269e-02
-2.456250000000000100e-02,3.182646187003041610e-02
-2.454999999999999891e-02,3.182455695712185784e-02
-2.453750000000000028e-02,3.182109602255935726e-02
-2.452500000000000166e-02,3.181668316609601033e-02
-2.451249999999999957e-02,3.181293227932621703e-02
-2.450000000000000094e-02,3.180955867176998852e-02
-2.448749999999999885e-02,3.180559907359108845e-02
-2.447500000000000023e-02,3.180193612539294196e-02
-2.446250000000000160e-02,3.179755150739480007e-02
-2.444999999999999951e-02,3.179250559922020686e-02
-2.443750000000000089e-02,3.178758271534967011e-02
-2.442499999999999880e-02,3.178203920587040904e-02
-2.441250000000000017e-02,3.177630520510030254e-02
-2.440000000000000155e-02,3.177194904527788633e-02
-2.438749999999999946e-02,3.176758301886730557e-02
-2.437500000000000083e-02,3.176120765362687448e-02
-2.436249999999999874e-02,3.175618773924603067e-02
-2.435000000000000012e-02,3.175074046750715057e-02
-2.433750000000000149e-02,3.174508791365542038e-02
-2.432499999999999940e-02,3.173877529955317078e-02
-2.431250000000000078e-02,3.173316404675016744e-02
-2.429999999999999868e-02,3.172786418038853196e-02
-2.428750000000000006e-02,3.172091921900775657e-02
-2.427500000000000144e-02,3.171535986545501173e-02
-2.426249999999999934e-02,3.170824165892710544e-02
-2.425000000000000072e-02,3.169997277174960160e-02
-2.423749999999999863e-02,3.169324767491841360e-02
-2.422500000000000001e-02,3.168567360302550207e-02
-2.421250000000000138e-02,3.167828113207486057e-02
-2.419999999999999929e-02,3.166944765679795964e-02
-2.418750000000000067e-02,3.166158975967683920e-02
-2.417499999999999857e-02,3.165422977870332999e-02
-2.416249999999999995e-02,3.164614816190566837e-02
-2.415000000000000133e-02,3.163881650320445049e-02
-2.413749999999999923e-02,3.163046355523280867e-02
-2.412500000000000061e-02,3.162261889510459972e-02
-2.411249999999999852e-02,3.161530242134528990e-02
-2.409999999999999989e-02,3.160708824208866702e-02
-2.408750000000000127e-02,3.159950507146193355e-02
-2.407499999999999918e-02,3.158988785249888798e-02
-2.406250000000000056e-02,3.158139124555421617e-02
