Time (s), Voltage (V)
-5.296875000000000194e-02,2.436543790217262501e-02
-5.294859996344000036e-02,2.436174423056368735e-02
-5.292844992686999983e-02,2.435757195635163130e-02
-5.290829989030999825e-02,2.435293516315991530e-02
-5.288814985374999667e-02,2.434784793461199776e-02
-5.286799981719000202e-02,2.434232435433130587e-02
-5.284784978062000149e-02,2.433637850594131541e-02
-5.282769974405999991e-02,2.433002447306547092e-02
-5.280754970749999833e-02,2.432327633932721694e-02
-5.278739967093999674e-02,2.431614818835000497e-02
-5.276724963437000315e-02,2.430865410375728994e-02
-5.274709959781000157e-02,2.430080816917252334e-02
-5.272694956124999999e-02,2.429262446821914972e-02
-5.270679952468999840e-02,2.428411708452063444e-02
-5.268664948811999788e-02,2.427530010170041164e-02
-5.266649945156000323e-02,2.426618760338194319e-02
-5.264634941500000165e-02,2.425679367318867366e-02
-5.262619937844000007e-02,2.424713239474405799e-02
-5.260604934186999954e-02,2.423721785167155113e-02
-5.258589930530999795e-02,2.422706412759459069e-02
-5.256574926875000331e-02,2.421668530613663856e-02
-5.254559923219000173e-02,2.420609547092114622e-02
-5.252544919562000120e-02,2.419530870557156169e-02
-5.250529915905999961e-02,2.418433909371133991e-02
-5.248514912249999803e-02,2.417320071896391850e-02
-5.246499908594000339e-02,2.416190766495231179e-02
-5.244484904937000286e-02,2.414394862397742716e-02
-5.242469901281000128e-02,2.412655513148609376e-02
-5.240454897624999969e-02,2.412065752338625468e-02
-5.238439893968999811e-02,2.409578887403971900e-02
-5.236424890311999758e-02,2.409341371038935253e-02
-5.234409886656000294e-02,2.409198908015990417e-02
-5.232394883000000135e-02,2.408779700332917134e-02
-5.230379879343999977e-02,2.408990455276403819e-02
-5.228364875686999924e-02,2.408070833087905954e-02
-5.226349872030999766e-02,2.405144189222813145e-02
-5.224334868375000301e-02,2.404163923531630470e-02
-5.222319864719000143e-02,2.404253333710796442e-02
-5.220304861062000090e-02,2.402373898842510500e-02
-5.218289857405999932e-02,2.399231101723662413e-02
-5.216274853749999774e-02,2.398778342204761077e-02
-5.214259850094000309e-02,2.400146556886858726e-02
-5.212244846437000256e-02,2.401397249088267627e-02
-5.210229842781000098e-02,2.399700379396996208e-02
-5.208214839124999940e-02,2.397939059774806606e-02
-5.206199835468999781e-02,2.395043592833313861e-02
-5.204184831811999729e-02,2.391214614827016569e-02
-5.202169828156000264e-02,2.390598844820900765e-02
-5.200154824500000106e-02,2.388181033092435721e-02
-5.198139820843999948e-02,2.384860039411945340e-02
-5.196124817186999895e-02,2.383890773743414099e-02
-5.194109813530999736e-02,2.382033754784886742e-02
-5.192094809875000272e-02,2.380886596298851035e-02
-5.190079806219000114e-02,2.377982621123875262e-02
-5.188064802562000061e-02,2.376190043036036786e-02
-5.186049798905999902e-02,2.375323390337221591e-02
-5.184034795249999744e-02,2.373614475752519604e-02
-5.182019791594000280e-02,2.373938830098031375e-02
-5.180004787937000227e-02,2.372366389725655972e-02
-5.177989784281000069e-02,2.370881142721193574e-02
-5.175974780624999910e-02,2.369490672495366823e-02
-5.173959776968999752e-02,2.369094105189200813e-02
-5.171944773311999699e-02,2.367031710797480940e-02
-5.169929769656000235e-02,2.367256889170716444e-02
-5.167914766000000076e-02,2.367421437631610920e-02
-5.165899762343999918e-02,2.366455334662120880e-02
