Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
5s1/2,5p1/2,794.9789,0.0006,794.9789(6),4.231,0.003,4.231(3),"U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996)",https://doi.org/10.1088/0031-8949/1996/T65/007,,
5s1/2,5p3/2,780.2415,0.0006,780.2415(6),5.978,0.005,5.978(5),"U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996)",https://doi.org/10.1088/0031-8949/1996/T65/007,,
5s1/2,6p1/2,421.6726,0.0003,421.6726(3),0.3235,0.0009,0.3235(9),"C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://doi.org/10.1103/PhysRevLett.109.243003,,
5s1/2,6p3/2,420.2989,0.0002,420.2989(2),0.523,0.0008,0.5230(8),"C. D. Herold, V. D. Vaidya, X. Li, S. L. Rolston, J. V. Porto, and M. S. Safronova, Phys. Rev. Lett. 109, 243003 (2012)",https://doi.org/10.1103/PhysRevLett.109.243003,,
5s1/2,7p1/2,359.2597,0.0002,359.2597(2),0.1154299,0.0080606,0.1154(81),,,,
5s1/2,7p3/2,358.8073,0.0002,358.8073(2),0.2023142,0.0105247,0.202(11),,,,
5s1/2,8p1/2,335.1775,0.0002,335.1775(2),0.0598359,0.0056525,0.0598(57),,,,
5s1/2,8p3/2,334.9658,0.0002,334.9658(2),0.1109939,0.0073876,0.1110(74),,,,
5s1/2,9p1/2,323.0088,0.0001,323.0088(1),0.0376028,0.0043066,0.0376(43),,,,
5s1/2,9p3/2,322.8911,0.0001,322.8911(1),0.0726511,0.0056406,0.0727(56),,,,
5s1/2,10p1/2,315.9173,0.0001,315.9173(1),0.0263885,0.0034358,0.0264(34),,,,
5s1/2,10p3/2,315.8444,0.0001,315.8444(1),0.052518,0.0045084,0.0525(45),,,,
5s1/2,11p1/2,311.395,0.0001,311.3950(1),0.0198671,0.0028278,0.0199(28),,,,
5s1/2,11p3/2,311.3468,0.0001,311.3468(1),0.0404163,0.0037162,0.0404(37),,,,
5s1/2,12p1/2,308.3232,0.0005,308.3232(5),0.015693,0.0023817,0.0157(24),,,,
5s1/2,12p3/2,308.2895,0.0005,308.2895(5),0.0324571,0.0031338,0.0325(31),,,,
5s1/2,13p1/2,306.1378,0.0005,306.1378(5),0.0128314,0.0020425,0.0128(20),,,,
5s1/2,13p3/2,306.1134,0.0005,306.1134(5),0.0268775,0.00269,0.0269(27),,,,
6s1/2,5p1/2,1323.8791,0.0018,1323.879(2),4.1462307,0.0081555,4.1462(82),,,,
6s1/2,5p3/2,1366.8737,0.0019,1366.874(2),6.0475447,0.0127237,6.048(13),,,,
6s1/2,6p1/2,2791.2915,0.011,2791.29(1),9.7197287,0.0245525,9.720(25),,,,
6s1/2,6p3/2,2732.18,0.0106,2732.18(1),13.644913,0.036115,13.645(36),,,,
6s1/2,7p1/2,1298.2781,0.0024,1298.278(2),0.9922136,0.0180716,0.992(18),,,,
6s1/2,7p3/2,1292.3904,0.0024,1292.390(2),1.5397377,0.0247535,1.540(25),,,,
6s1/2,8p1/2,1030.6696,0.0015,1030.670(2),0.3935522,0.0054221,0.3936(54),,,,
6s1/2,8p3/2,1028.6711,0.0015,1028.671(1),0.6284739,0.0095801,0.6285(96),,,,
6s1/2,9p1/2,923.6681,0.0012,923.668(1),0.2224333,0.0041527,0.2224(42),,,,
6s1/2,9p3/2,922.7067,0.0012,922.707(1),0.3632766,0.0059709,0.3633(60),,,,
6s1/2,10p1/2,867.9546,0.0011,867.955(1),0.1484873,0.0030082,0.1485(30),,,,
6s1/2,10p3/2,867.4042,0.0011,867.404(1),0.2461253,0.004114,0.2461(41),,,,
6s1/2,11p1/2,834.6521,0.001,834.652(1),0.1088502,0.0022409,0.1089(22),,,,
6s1/2,11p3/2,834.306,0.001,834.306(1),0.182291,0.0032127,0.1823(32),,,,
6s1/2,12p1/2,812.9427,0.0034,812.943(3),0.0846548,0.0015434,0.0847(15),,,,
6s1/2,12p3/2,812.7088,0.0034,812.709(3),0.1428288,0.002229,0.1428(22),,,,
6s1/2,13p1/2,797.9241,0.0032,797.924(3),0.0685508,0.0012491,0.0686(12),,,,
6s1/2,13p3/2,797.7586,0.0032,797.759(3),0.1163001,0.0018113,0.1163(18),,,,
8s1/2,5p1/2,607.2432,0.0004,607.2432(4),0.5022811,0.003119,0.5023(31),,,,
8s1/2,5p3/2,616.1327,0.0004,616.1327(4),0.707779,0.0046757,0.7078(47),,,,
8s1/2,6p1/2,1875.5621,0.005,1875.562(5),1.8512048,0.0102944,1.851(10),,,,
8s1/2,6p3/2,1903.2303,0.0051,1903.230(5),2.5975176,0.0155197,2.598(16),,,,
8s1/2,7p1/2,8252.2141,0.0963,8252.2(1),15.990035,0.1599003,15.99(16),,,,
8s1/2,7p3/2,8498.2995,0.1021,8498.3(1),23.226375,0.035835,23.226(36),,,,
8s1/2,8p1/2,12688.3587,0.2277,12688.4(2),25.87933,0.057846,25.879(58),,,,
8s1/2,8p3/2,12391.973,0.2172,12392.0(2),36.199927,0.087625,36.200(88),,,,
8s1/2,9p1/2,5229.8684,0.0387,5229.87(4),2.9407443,0.0257696,2.941(26),,,,
8s1/2,9p3/2,5199.1968,0.0382,5199.20(4),4.430614,0.0350916,4.431(35),,,,
8s1/2,10p1/2,3835.7766,0.0208,3835.78(2),1.1986254,0.0140306,1.199(14),,,,
8s1/2,10p3/2,3825.0513,0.0207,3825.05(2),1.8449967,0.0196011,1.845(20),,,,
8s1/2,11p1/2,3260.798,0.015,3260.80(2),0.6854082,0.0053937,0.6854(54),,,,
8s1/2,11p3/2,3255.522,0.015,3255.52(1),1.0743455,0.0076412,1.0743(76),,,,
8s1/2,12p1/2,2952.7408,0.0445,2952.74(4),0.4630898,0.0044667,0.4631(45),,,,
8s1/2,12p3/2,2949.6576,0.0444,2949.66(4),0.7324705,0.0069952,0.7325(70),,,,
8s1/2,13p1/2,2763.7945,0.0389,2763.79(4),0.3420372,0.0038835,0.3420(39),,,,
8s1/2,13p3/2,2761.8099,0.0389,2761.81(4),0.544287,0.0059097,0.5443(59),,,,
9s1/2,5p1/2,558.0332,0.0003,558.0332(3),0.3314889,0.002127,0.3315(21),,,,
9s1/2,5p3/2,565.5313,0.0003,565.5313(3),0.4661778,0.0031886,0.4662(32),,,,
9s1/2,6p1/2,1474.0675,0.0031,1474.067(3),0.9348055,0.0057205,0.9348(57),,,,
9s1/2,6p3/2,1491.1041,0.0031,1491.104(3),1.3037247,0.0086075,1.3037(86),,,,
9s1/2,7p1/2,3753.7383,0.0199,3753.74(2),2.9981154,0.0165175,2.998(17),,,,
9s1/2,7p3/2,3803.842,0.0205,3803.84(2),4.1858575,0.0250502,4.186(25),,,,
9s1/2,8p1/2,15058.1773,0.3207,15058.2(3),24.581968,0.040269,24.582(40),,,,
9s1/2,8p3/2,15498.0852,0.3397,15498.1(3),35.569549,0.064774,35.570(65),,,,
